                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85927,                 2.1664,                  2.803,                 1.2779,                0.48936,                0.80492,                0.64698,                0.49039,                0.48936,                0.80492,                0.64698,                0.45456,                0.64484,                 1.5946,                 6.4148,                 1.1819,             0.00036262,             0.00036262,             0.00036262
                      2,                0.94671,                 1.8105,                 1.9817,                 1.3088,                   0.75,                   0.45,                0.56304,                 0.3709,                    0.7,                    0.4,                  0.478,                0.25434,                 1.0018,                 7.9504,                 13.878,                  1.747,              0.0007257,              0.0007257,              0.0007257
                      3,                 1.1203,                  1.955,                 1.9108,                 1.3897,                0.39984,                   0.45,                0.40526,                0.24989,                0.40223,                    0.5,                0.40726,                0.22165,                 1.2101,                 2.6248,                 6.2256,                 1.8503,              0.0010814,              0.0010814,              0.0010814
                      4,                 1.1422,                 1.9822,                 1.8528,                 1.4311,                0.57557,                0.37938,                0.45359,                 0.2796,                0.41797,                0.72988,                0.48766,                0.26092,                 1.3507,                 2.1776,                 5.7556,                 1.8314,               0.001078,               0.001078,               0.001078
                      5,                 1.0155,                 1.8781,                 1.7387,                 1.3445,                0.54972,                0.58907,                 0.6639,                0.38901,                0.59961,                0.63622,                0.72352,                0.41716,                 1.6847,                 2.9213,                 2.0462,                 2.3476,               0.001067,               0.001067,               0.001067
                      6,                0.99852,                 1.8431,                 1.5227,                 1.3195,                0.84137,                0.93397,                0.95722,                0.64788,                0.84137,                0.93397,                0.95722,                0.64003,                 1.0512,                 2.1531,                 1.3458,                 1.5298,               0.001056,               0.001056,               0.001056
                      7,                  1.017,                 1.7543,                 1.4741,                 1.3228,                  0.718,                0.73177,                0.80807,                0.49336,                  0.718,                0.73177,                 0.8114,                0.51687,                 1.2952,                 1.8172,                 1.5587,                 1.8624,               0.001045,               0.001045,               0.001045
                      8,                0.95809,                 1.6699,                 1.4322,                 1.2826,                0.76739,                0.90022,                0.94833,                0.67924,                0.76739,                0.90022,                0.94833,                0.56908,                0.96939,                 1.9318,                 1.4629,                 1.5147,               0.001034,               0.001034,               0.001034
                      9,                0.94228,                 1.6906,                 1.4305,                 1.2671,                0.66557,                0.63127,                0.58802,                 0.4374,                0.70705,                0.52293,                0.57977,                0.41448,                 1.0736,                  2.303,                 2.1954,                 1.5882,               0.001023,               0.001023,               0.001023
                     10,                0.89159,                 1.6401,                 1.3148,                 1.2437,                0.72385,                0.81491,                 0.8481,                0.66022,                0.72385,                0.81491,                 0.8481,                0.56581,                0.95444,                  2.202,                 1.2304,                  1.374,               0.001012,               0.001012,               0.001012
                     11,                0.90188,                 1.6337,                 1.3558,                 1.2465,                0.83756,                0.87923,                0.86798,                0.67585,                0.89465,                0.92703,                0.93523,                0.61343,                0.94985,                 1.6488,                 1.4118,                 1.4268,               0.001001,               0.001001,               0.001001
                     12,                0.89883,                 1.5648,                 1.2374,                  1.241,                0.84888,                0.96747,                  0.995,                0.69664,                0.84888,                0.96747,                  0.995,                0.67639,                0.83851,                 1.7316,                0.96399,                 1.3442,             0.00099001,             0.00099001,             0.00099001
                     13,                0.86851,                 1.6567,                 1.2167,                 1.2104,                0.72155,                0.80873,                   0.86,                0.55604,                0.70272,                0.88754,                 0.8825,                0.53641,                  1.228,                 2.2207,                 1.4767,                 1.6262,             0.00097901,             0.00097901,             0.00097901
                     14,                 0.8301,                 1.6009,                 1.1888,                 1.2079,                0.90883,                      1,                  0.975,                0.76111,                0.90883,                      1,                  0.975,                0.74673,                0.90755,                 1.5687,                0.76066,                 1.4412,             0.00096801,             0.00096801,             0.00096801
                     15,                 0.8202,                 1.5942,                 1.1076,                 1.1835,                0.92113,                0.97336,                  0.995,                0.86254,                0.92113,                0.97336,                  0.995,                0.79093,                0.63751,                 1.5682,                0.62813,                 1.2373,             0.00095702,             0.00095702,             0.00095702
                     16,                0.76151,                 1.3949,                 1.0731,                 1.1534,                0.92505,                 0.9841,                  0.985,                0.80978,                0.92505,                 0.9841,                  0.985,                0.75072,                0.69121,                 1.4523,                0.80879,                 1.2041,             0.00094602,             0.00094602,             0.00094602
                     17,                0.78941,                 1.4885,                  1.098,                 1.1875,                0.67732,                0.80818,                0.78147,                0.61416,                0.72296,                0.76591,                0.80465,                0.57124,                0.90988,                 1.5269,                 1.3378,                 1.3841,             0.00093502,             0.00093502,             0.00093502
                     18,                0.76258,                 1.5242,                 1.0757,                 1.1465,                0.78758,                 0.9735,                  0.975,                0.72966,                0.78758,                 0.9735,                  0.975,                 0.6759,                0.87721,                 1.7969,                 0.7795,                 1.3342,             0.00092402,             0.00092402,             0.00092402
                     19,                0.79422,                  1.551,                 1.1007,                 1.1686,                0.88675,                0.96383,                  0.985,                0.86425,                0.88675,                0.96383,                  0.985,                0.76495,                0.61054,                 1.4884,                0.65895,                 1.0748,             0.00091302,             0.00091302,             0.00091302
                     20,                0.73977,                 1.4378,                 1.0184,                 1.1319,                 0.8828,                   0.95,                0.96318,                0.81999,                 0.8828,                   0.95,                0.96318,                0.70746,                0.79971,                  1.843,                0.65822,                 1.2765,             0.00090202,             0.00090202,             0.00090202
                     21,                0.75248,                 1.4124,                 1.0066,                 1.1257,                0.89374,                0.94184,                  0.985,                0.71271,                0.89374,                0.94184,                  0.985,                0.69557,                 1.1155,                 1.5463,                0.67669,                 1.5031,             0.00089102,             0.00089102,             0.00089102
                     22,                0.76323,                 1.4457,                 1.0112,                 1.1561,                0.96269,                      1,                  0.995,                  0.814,                0.96269,                      1,                  0.995,                0.74066,                0.82988,                  1.404,                0.66298,                 1.2152,             0.00088002,             0.00088002,             0.00088002
                     23,                0.67617,                 1.3413,                0.89612,                 1.1112,                0.94472,                      1,                  0.995,                0.83737,                0.94472,                      1,                  0.995,                0.75186,                0.64626,                 1.3426,                 0.5824,                 1.2078,             0.00086902,             0.00086902,             0.00086902
                     24,                0.71603,                  1.401,                0.89925,                 1.1248,                0.96217,                0.91805,                  0.995,                0.81179,                0.96217,                0.91805,                  0.995,                0.73993,                0.73405,                  1.457,                0.58931,                  1.307,             0.00085803,             0.00085803,             0.00085803
                     25,                0.66079,                 1.3555,                0.88559,                 1.0839,                0.92059,                0.94149,                  0.995,                0.88041,                0.92059,                0.94149,                  0.995,                0.75781,                 0.5497,                  1.383,                0.59106,                 1.1268,             0.00084703,             0.00084703,             0.00084703
                     26,                0.67305,                 1.2965,                0.89194,                 1.0939,                0.93975,                      1,                  0.995,                0.82134,                0.93975,                      1,                  0.995,                0.77075,                0.85766,                 1.3264,                0.50339,                 1.3756,             0.00083603,             0.00083603,             0.00083603
                     27,                0.68113,                 1.2942,                0.89452,                 1.0917,                0.88525,                 0.9882,                  0.965,                0.78741,                0.88525,                 0.9882,                  0.965,                0.70596,                0.73642,                 1.4213,                 0.6961,                 1.1826,             0.00082503,             0.00082503,             0.00082503
                     28,                0.63636,                 1.2912,                0.81503,                 1.0734,                0.91156,                   0.95,                0.95553,                0.82717,                0.95329,                0.99674,                  0.995,                0.69455,                0.76566,                 2.1471,                 0.5255,                 1.2372,             0.00081403,             0.00081403,             0.00081403
                     29,                0.67396,                 1.2675,                0.82479,                 1.0939,                0.95803,                0.96897,                  0.995,                0.86182,                0.95803,                0.96897,                  0.995,                0.71955,                0.58775,                 1.3997,                0.46247,                 1.1148,             0.00080303,             0.00080303,             0.00080303
                     30,                0.64182,                 1.3317,                0.82035,                 1.0887,                0.94792,                0.92551,                  0.995,                0.90855,                0.94792,                0.92551,                  0.995,                0.75392,                0.52016,                 1.4439,                0.78328,                 1.0426,             0.00079203,             0.00079203,             0.00079203
                     31,                0.66756,                  1.264,                0.82601,                 1.1062,                 0.9416,                0.96476,                  0.995,                0.76363,                 0.9416,                0.96476,                  0.995,                0.68547,                 1.0315,                 1.5222,                0.55036,                 1.5219,             0.00078103,             0.00078103,             0.00078103
                     32,                0.68475,                 1.2893,                0.85141,                 1.1053,                0.92608,                      1,                  0.995,                0.82486,                0.92608,                      1,                  0.995,                0.75071,                0.80646,                 1.3015,                0.56976,                 1.3756,             0.00077003,             0.00077003,             0.00077003
                     33,                0.63373,                 1.1911,                0.79582,                 1.0688,                0.96972,                0.97442,                  0.995,                0.81807,                0.96972,                0.97442,                  0.995,                0.77137,                0.65966,                 1.2224,                0.48994,                 1.1941,             0.00075904,             0.00075904,             0.00075904
                     34,                0.63964,                 1.2611,                0.80904,                 1.0831,                0.95717,                0.97048,                  0.995,                0.84564,                0.95717,                0.97048,                  0.995,                0.78222,                 0.6433,                 1.2694,                0.43818,                 1.1769,             0.00074804,             0.00074804,             0.00074804
                     35,                 0.6129,                 1.1707,                0.77893,                  1.066,                 0.9551,                      1,                  0.995,                0.88291,                 0.9551,                      1,                  0.995,                0.77836,                0.57758,                 1.3373,                0.39896,                 1.1456,             0.00073704,             0.00073704,             0.00073704
                     36,                 0.6263,                 1.2482,                0.80347,                 1.0637,                0.98173,                      1,                  0.995,                0.85304,                0.98173,                      1,                  0.995,                0.78468,                 0.5656,                 1.3047,                0.44953,                 1.1304,             0.00072604,             0.00072604,             0.00072604
                     37,                 0.6132,                 1.1851,                0.76635,                 1.0397,                0.95235,                      1,                  0.995,                0.93022,                0.95235,                      1,                  0.995,                0.78341,                0.42558,                 1.2035,                0.32171,                0.97266,             0.00071504,             0.00071504,             0.00071504
                     38,                0.60121,                 1.2007,                0.69926,                 1.0423,                0.96293,                0.96653,                  0.995,                0.85334,                0.96293,                0.96653,                  0.995,                0.75038,                 0.6132,                 1.2334,                0.49966,                 1.1134,             0.00070404,             0.00070404,             0.00070404
                     39,                0.57609,                 1.1797,                0.72041,                 1.0433,                0.94026,                      1,                  0.995,                0.86641,                0.94026,                      1,                  0.995,                0.80448,                0.59878,                 1.1725,                0.39924,                 1.1002,             0.00069304,             0.00069304,             0.00069304
                     40,                0.60947,                 1.2304,                0.71973,                 1.0601,                0.96743,                      1,                  0.995,                0.93471,                0.96743,                      1,                  0.995,                0.74996,                0.42297,                 1.3473,                0.38338,                0.93862,             0.00068204,             0.00068204,             0.00068204
                     41,                0.58251,                 1.1566,                 0.6921,                 1.0386,                0.93432,                      1,                  0.995,                 0.8633,                0.93432,                      1,                  0.995,                0.79114,                 0.5991,                 1.2156,                0.54431,                 1.0818,             0.00067104,             0.00067104,             0.00067104
                     42,                0.57595,                 1.1151,                0.67677,                 1.0434,                0.98467,                0.98847,                  0.995,                0.93277,                0.98467,                0.98847,                  0.995,                0.78317,                0.43188,                 1.1663,                0.44385,                0.93415,             0.00066005,             0.00066005,             0.00066005
                     43,                0.57537,                 1.1271,                0.69277,                 1.0509,                0.96818,                0.99546,                  0.995,                0.91744,                0.96818,                0.99546,                  0.995,                0.80067,                0.42187,                 1.1837,                0.34719,                0.94133,             0.00064905,             0.00064905,             0.00064905
                     44,                0.56513,                 1.1413,                0.69618,                 1.0233,                0.97784,                      1,                  0.995,                0.87306,                0.97784,                      1,                  0.995,                0.79533,                0.51602,                 1.3177,                0.39051,                 1.0513,             0.00063805,             0.00063805,             0.00063805
                     45,                0.58078,                 1.1026,                0.70797,                 1.0425,                0.95194,                      1,                  0.995,                0.84923,                0.95194,                      1,                  0.995,                0.78831,                0.49543,                 1.2806,                0.37031,                 1.0012,             0.00062705,             0.00062705,             0.00062705
                     46,                0.55999,                 1.0765,                0.66231,                 1.0295,                0.97989,                      1,                  0.995,                0.84718,                0.97989,                      1,                  0.995,                0.79065,                0.65732,                 1.2032,                0.45113,                 1.0731,             0.00061605,             0.00061605,             0.00061605
                     47,                0.53398,                 1.1101,                0.62903,                 1.0188,                0.98463,                      1,                  0.995,                0.91753,                0.98463,                      1,                  0.995,                0.82473,                0.43375,                  1.072,                0.30815,                0.97106,             0.00060505,             0.00060505,             0.00060505
                     48,                0.54158,                 1.0694,                0.65925,                  1.016,                0.97202,                0.98643,                  0.995,                0.90238,                0.97202,                0.98643,                  0.995,                0.82538,                0.50607,                 1.0941,                0.37206,                 1.0264,             0.00059405,             0.00059405,             0.00059405
                     49,                0.54018,                 1.0536,                0.66369,                 1.0318,                0.95213,                      1,                  0.995,                0.87027,                0.95213,                      1,                  0.995,                0.83422,                0.47693,                 0.9553,                0.36594,                0.99542,             0.00058305,             0.00058305,             0.00058305
                     50,                0.52401,                 1.0536,                 0.6306,                0.99982,                0.98416,                0.99857,                  0.995,                0.82789,                0.98416,                0.99857,                  0.995,                0.81152,                 0.5306,                 1.0152,                0.36886,                 1.0488,             0.00057205,             0.00057205,             0.00057205
                     51,                0.53051,                 1.0442,                0.58449,                 1.0147,                0.96201,                0.98902,                  0.995,                0.86789,                0.96201,                0.98902,                  0.995,                0.79486,                0.51626,                 1.1345,                 0.3635,                 1.0428,             0.00056105,             0.00056105,             0.00056105
                     52,                0.53504,                 1.0554,                0.59868,                 1.0088,                0.94116,                0.98828,                  0.995,                0.89788,                0.94116,                0.98828,                  0.995,                0.81361,                 0.4013,                 1.0707,                0.44276,                0.95749,             0.00055006,             0.00055006,             0.00055006
                     53,                0.54066,                 1.0812,                0.58856,                 1.0282,                0.98108,                      1,                  0.995,                 0.9085,                0.98108,                      1,                  0.995,                0.81311,                 0.4665,                 1.0977,                0.37351,                  1.045,             0.00053906,             0.00053906,             0.00053906
                     54,                0.51927,                 1.0341,                0.55878,                 1.0171,                0.97141,                      1,                  0.995,                0.90416,                0.97141,                      1,                  0.995,                0.80345,                0.41071,                 1.1201,                0.33662,                0.96678,             0.00052806,             0.00052806,             0.00052806
                     55,                0.52195,                 1.0261,                0.58917,                 1.0156,                0.96794,                0.99894,                  0.995,                0.91364,                0.96794,                0.99894,                  0.995,                0.82976,                0.46369,                  1.032,                0.40214,                 1.0059,             0.00051706,             0.00051706,             0.00051706
                     56,                0.52255,                  1.046,                0.62361,                 1.0022,                0.94617,                0.96194,                  0.995,                0.85591,                0.94617,                0.96194,                  0.995,                0.78312,                0.54841,                  1.145,                 0.4155,                 1.0654,             0.00050606,             0.00050606,             0.00050606
                     57,                0.50155,                 1.0123,                0.58778,                 1.0133,                0.92653,                0.99312,                  0.995,                0.90333,                0.92653,                0.99312,                  0.995,                0.79898,                0.45961,                 1.1744,                0.32218,                  1.026,             0.00049506,             0.00049506,             0.00049506
                     58,                0.51144,                 1.0238,                0.60413,                 0.9917,                0.93717,                0.97551,                  0.995,                0.92802,                0.93717,                0.97551,                  0.995,                0.82017,                0.37415,                 1.1024,                0.43206,                0.95408,             0.00048406,             0.00048406,             0.00048406
                     59,                0.50199,                 1.0166,                0.53542,                 1.0002,                0.97969,                0.99514,                  0.995,                0.93335,                0.97969,                0.99514,                  0.995,                0.81672,                0.42112,                  1.109,                0.34351,                0.92805,             0.00047306,             0.00047306,             0.00047306
                     60,                0.49658,                0.97644,                0.52591,                0.98506,                0.94811,                      1,                  0.995,                0.89422,                0.94811,                      1,                  0.995,                 0.8063,                0.48496,                 1.1321,                0.35126,                0.98026,             0.00046206,             0.00046206,             0.00046206
                     61,                0.49897,                 1.0456,                0.53048,                0.99394,                0.97806,                      1,                  0.995,                0.92182,                0.97806,                      1,                  0.995,                0.79755,                0.50602,                 1.1711,                0.34652,                 1.0156,             0.00045107,             0.00045107,             0.00045107
                     62,                0.47949,                   1.03,                0.55371,                0.98153,                0.95643,                0.99697,                  0.995,                0.92745,                0.95643,                0.99697,                  0.995,                0.83497,                0.42868,                 1.0355,                0.35077,                0.98473,             0.00044007,             0.00044007,             0.00044007
                     63,                0.48359,                0.94957,                0.53369,                0.97356,                0.98054,                      1,                  0.995,                0.87688,                0.98054,                      1,                  0.995,                0.80242,                0.50757,                 1.0548,                0.34286,                 1.0839,             0.00042907,             0.00042907,             0.00042907
                     64,                0.49164,                0.95419,                0.52239,                  0.983,                0.97755,                      1,                  0.995,                0.89786,                0.97755,                      1,                  0.995,                0.81502,                0.45102,                 1.0668,                0.29606,                 1.0248,             0.00041807,             0.00041807,             0.00041807
                     65,                0.46991,                0.92865,                0.51097,                0.97699,                0.97506,                      1,                  0.995,                  0.886,                0.97506,                      1,                  0.995,                0.80708,                0.42554,                 1.0012,                0.33672,                0.97092,             0.00040707,             0.00040707,             0.00040707
                     66,                0.47867,                0.94684,                0.51059,                0.98125,                 0.9666,                      1,                  0.995,                0.84715,                 0.9666,                      1,                  0.995,                0.82016,                0.57031,                0.98581,                0.41162,                 1.0415,             0.00039607,             0.00039607,             0.00039607
                     67,                0.47525,                0.97226,                0.51306,                0.98173,                0.96597,                      1,                  0.995,                0.87129,                0.96597,                      1,                  0.995,                0.80061,                0.59156,                 1.0241,                0.39339,                 1.1058,             0.00038507,             0.00038507,             0.00038507
                     68,                0.45254,                0.94276,                0.48508,                0.95652,                0.97674,                      1,                  0.995,                 0.9312,                0.97674,                      1,                  0.995,                0.82668,                0.39531,                0.98219,                0.29322,                0.96557,             0.00037407,             0.00037407,             0.00037407
                     69,                0.45205,                0.93271,                0.47949,                0.95829,                0.97483,                      1,                  0.995,                0.91676,                0.97483,                      1,                  0.995,                0.82005,                0.41963,                0.96295,                0.30191,                 1.0055,             0.00036307,             0.00036307,             0.00036307
                     70,                0.46687,                0.94301,                0.49848,                0.96537,                0.96856,                      1,                  0.995,                 0.9122,                0.96856,                      1,                  0.995,                0.80904,                 0.4539,                 1.0413,                0.32142,                0.98339,             0.00035208,             0.00035208,             0.00035208
                     71,                0.47503,                0.95841,                0.49142,                0.96976,                0.95735,                0.98582,                  0.995,                0.88859,                0.95735,                0.98582,                  0.995,                0.80819,                0.46317,                 1.0104,                0.35049,                0.95231,             0.00034108,             0.00034108,             0.00034108
                     72,                0.46498,                0.94172,                0.48199,                0.96703,                0.97572,                      1,                  0.995,                0.88132,                0.97572,                      1,                  0.995,                0.83318,                0.45532,                0.89574,                 0.3454,                0.91933,             0.00033008,             0.00033008,             0.00033008
                     73,                0.44967,                0.95132,                0.45559,                0.96712,                 0.9854,                      1,                  0.995,                0.90511,                 0.9854,                      1,                  0.995,                0.83032,                0.48635,                0.99595,                0.30103,                 1.0141,             0.00031908,             0.00031908,             0.00031908
                     74,                0.44278,                0.95213,                0.46556,                 0.9462,                0.97942,                      1,                  0.995,                0.91821,                0.97942,                      1,                  0.995,                0.83757,                 0.3915,                0.92802,                0.28815,                0.94619,             0.00030808,             0.00030808,             0.00030808
                     75,                0.44817,                0.90007,                0.46539,                0.96408,                0.97908,                      1,                  0.995,                0.94391,                0.97908,                      1,                  0.995,                0.83961,                0.35363,                0.96323,                0.26418,                0.92333,             0.00029708,             0.00029708,             0.00029708
                     76,                0.44002,                0.91711,                0.46312,                0.95405,                0.98071,                      1,                  0.995,                0.94261,                0.98071,                      1,                  0.995,                0.82413,                0.32402,                0.98141,                 0.2312,                0.91116,             0.00028608,             0.00028608,             0.00028608
                     77,                0.44365,                0.88473,                 0.4315,                0.95263,                0.98604,                      1,                  0.995,                0.93436,                0.98604,                      1,                  0.995,                0.83353,                  0.362,                0.95453,                0.25652,                0.93009,             0.00027508,             0.00027508,             0.00027508
                     78,                0.41894,                  0.861,                0.42064,                0.93811,                0.97871,                      1,                  0.995,                0.90764,                0.97871,                      1,                  0.995,                0.83281,                0.39578,                0.98831,                0.28504,                0.95742,             0.00026408,             0.00026408,             0.00026408
                     79,                0.41467,                0.89568,                0.42532,                0.94898,                0.97962,                      1,                  0.995,                0.91004,                0.97962,                      1,                  0.995,                0.80944,                0.46504,                 1.0753,                0.29732,                0.96388,             0.00025309,             0.00025309,             0.00025309
                     80,                0.43246,                0.90545,                0.45031,                 0.9548,                0.98137,                      1,                  0.995,                0.89818,                0.98137,                      1,                  0.995,                 0.8218,                0.40581,                 1.0431,                 0.2811,                0.94973,             0.00024209,             0.00024209,             0.00024209
                     81,                0.41286,                0.86561,                0.43766,                0.94702,                0.97232,                      1,                  0.995,                0.89616,                0.97232,                      1,                  0.995,                0.81586,                0.38444,                 1.0494,                0.23957,                 0.9573,             0.00023109,             0.00023109,             0.00023109
                     82,                0.42272,                0.89578,                0.44644,                0.93614,                0.98076,                      1,                  0.995,                0.92571,                0.98076,                      1,                  0.995,                0.82722,                0.38989,                 1.0394,                0.23542,                0.94229,             0.00022009,             0.00022009,             0.00022009
                     83,                0.41452,                0.86404,                0.40597,                0.95281,                 0.9819,                      1,                  0.995,                0.92056,                 0.9819,                      1,                  0.995,                0.82137,                0.38634,                 1.0115,                0.23292,                0.94921,             0.00020909,             0.00020909,             0.00020909
                     84,                0.43521,                0.90307,                0.41806,                0.96237,                0.97151,                      1,                  0.995,                 0.9219,                0.97151,                      1,                  0.995,                0.82219,                0.45878,                0.98578,                0.27567,                0.97136,             0.00019809,             0.00019809,             0.00019809
                     85,                0.43154,                0.87267,                0.42595,                0.94283,                 0.9817,                      1,                  0.995,                0.89433,                 0.9817,                      1,                  0.995,                0.81884,                0.56699,                0.99503,                0.29094,                 1.1046,             0.00018709,             0.00018709,             0.00018709
                     86,                0.40982,                0.86396,                0.40993,                0.93948,                0.98288,                      1,                  0.995,                0.90526,                0.98288,                      1,                  0.995,                0.82764,                0.39077,                0.92577,                0.31223,                0.92488,             0.00017609,             0.00017609,             0.00017609
                     87,                0.39059,                 0.8275,                0.38852,                0.93766,                0.97905,                      1,                  0.995,                 0.9392,                0.97905,                      1,                  0.995,                0.82674,                0.37986,                0.95539,                0.26479,                0.93903,             0.00016509,             0.00016509,             0.00016509
                     88,                0.41334,                0.86807,                0.42522,                0.93444,                0.98354,                      1,                  0.995,                0.92824,                0.98354,                      1,                  0.995,                0.84044,                0.37628,                0.95897,                0.22911,                 0.9407,              0.0001541,              0.0001541,              0.0001541
                     89,                0.38698,                0.79587,                0.38144,                0.93933,                0.98228,                      1,                  0.995,                 0.9274,                0.98228,                      1,                  0.995,                 0.8363,                0.36192,                0.93789,                0.24312,                 0.9344,              0.0001431,              0.0001431,              0.0001431
                     90,                0.39771,                 0.8454,                0.38603,                0.94517,                 0.9768,                      1,                  0.995,                0.92127,                 0.9768,                      1,                  0.995,                0.83434,                  0.379,                0.91637,                0.21708,                0.94871,              0.0001321,              0.0001321,              0.0001321
                     91,                0.31823,                0.69392,                0.30273,                0.92043,                0.96687,                      1,                  0.995,                0.92149,                0.96687,                      1,                  0.995,                0.82947,                0.40657,                0.94996,                 0.2331,                0.98824,              0.0001211,              0.0001211,              0.0001211
                     92,                0.29838,                0.66759,                0.25153,                0.89985,                 0.9772,                      1,                  0.995,                 0.9153,                 0.9772,                      1,                  0.995,                0.82604,                0.42246,                0.97085,                0.22919,                  0.986,              0.0001101,              0.0001101,              0.0001101
